GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
2751424,160,27,,,,,,Plainview city,3340,1355,3190,1223,3340,3190
2751460,160,27,,,,,,Plato city,320,146,336,145,320,336
2751712,160,27,,,,,,Plummer city,292,141,270,130,292,270
2751730,160,27,,,,,,Plymouth city,70576,29982,65894,25258,70576,65894
2752144,160,27,,,,,,Porter city,183,97,190,98,183,190
2752522,160,27,,,,,,Princeton city,4698,2044,3933,1670,4698,3933
2752594,160,27,,,,,,Prior Lake city,22796,8882,15917,5791,22796,15917
2752630,160,27,,,,,,Proctor city,3057,1361,2852,1246,3057,2852
2752756,160,27,,,,,,Quamba city,123,47,98,38,123,98
2752882,160,27,,,,,,Racine city,442,166,355,123,442,355
2753026,160,27,,,,,,Ramsey city,23668,8302,18510,5946,23668,18510
2753098,160,27,,,,,,Randolph city,436,177,318,121,436,318
2753134,160,27,,,,,,Ranier city,145,89,188,88,145,188
2753620,160,27,,,,,,Red Wing city,16459,7539,16116,6867,16459,16116
2753656,160,27,,,,,,Redwood Falls city,5254,2465,5459,2377,5254,5459
2753710,160,27,,,,,,Regal city,34,20,40,20,34,40
2753782,160,27,,,,,,Remer city,370,208,372,198,370,372
2753908,160,27,,,,,,Revere city,95,40,100,44,95,100
2753998,160,27,,,,,,Rice city,1275,490,711,250,1275,711
2754056,160,27,,,,,,Rice Lake CDP,235,77,226,65,235,226
2754268,160,27,,,,,,Richmond city,1422,627,1213,498,1422,1213
2754596,160,27,,,,,,Riverland CDP,276,74,,,276,
2754736,160,27,,,,,,Riverton city,117,61,115,61,117,115
2754808,160,27,,,,,,Robbinsdale city,13953,6416,14123,6243,13953,14123
2754880,160,27,,,,,,Rochester city,106769,45683,85806,35346,106769,85806
2754934,160,27,,,,,,Rock Creek city,1628,635,1119,417,1628,1119
2755006,160,27,,,,,,Rockford city,4316,1693,3484,1333,4316,3484
2755186,160,27,,,,,,Rogers city,8597,3014,3588,1245,8597,3588
2755276,160,27,,,,,,Rollingstone city,664,267,697,251,664,697
2755366,160,27,,,,,,Ronneby CDP,67,27,16,7,67,16
2755438,160,27,,,,,,Roosevelt city,151,77,166,67,151,166
2755510,160,27,,,,,,Roscoe city,102,56,116,41,102,116
2755546,160,27,,,,,,Roseau city,2633,1288,2756,1229,2633,2756
2755600,160,27,,,,,,Rose Creek city,394,167,354,153,394,354
2755726,160,27,,,,,,Rosemount city,21874,7853,14619,4845,21874,14619
2755852,160,27,,,,,,Roseville city,33660,15490,33690,14917,33660,33690
2756086,160,27,,,,,,Round Lake city,376,210,424,214,376,424
2756176,160,27,,,,,,Royalton city,1242,487,816,328,1242,816
2756212,160,27,,,,,,Roy Lake CDP,12,48,,,12,
2756266,160,27,,,,,,Rush City city,3079,908,2102,724,3079,2102
2756428,160,27,,,,,,Russell city,338,175,371,170,338,371
2756482,160,27,,,,,,Ruthton city,241,128,284,145,241,284
2756554,160,27,,,,,,Sabin city,522,187,421,158,522,421
2756572,160,27,,,,,,Sacred Heart city,548,282,549,290,548,549
2756680,160,27,,,,,,St. Anthony city,8226,4098,8012,3812,8226,8012
2756698,160,27,,,,,,St. Anthony city,86,33,90,36,86,90
2756724,160,27,,,,,,St. Augusta city,3317,1184,,,3317,
2756770,160,27,,,,,,St. Bonifacius city,2283,912,1873,695,2283,1873
2756824,160,27,,,,,,St. Clair city,868,313,827,305,868,827
2756896,160,27,,,,,,St. Cloud city,65842,27338,59107,23249,65842,59107
2756950,160,27,,,,,,St. Francis city,7218,2650,4910,1686,7218,4910
2757022,160,27,,,,,,St. Hilaire city,279,131,272,127,279,272
2757040,160,27,,,,,,St. James city,4605,2039,4695,2006,4605,4695
2757130,160,27,,,,,,St. Joseph city,6534,1912,4681,1147,6534,4681
2757202,160,27,,,,,,St. Leo city,100,58,106,57,100,106
2757220,160,27,,,,,,St. Louis Park city,45250,23285,44126,21140,45250,44126
2757292,160,27,,,,,,St. Marys Point city,368,164,344,144,368,344
2757346,160,27,,,,,,St. Michael city,16399,5482,9099,3058,16399,9099
2758036,160,27,,,,,,St. Peter city,11196,3697,9747,3129,11196,9747
2758072,160,27,,,,,,St. Rosa city,68,31,44,16,68,44
2758090,160,27,,,,,,St. Stephen city,851,316,860,294,851,860
2758144,160,27,,,,,,St. Vincent city,64,40,117,51,64,117
2758306,160,27,,,,,,Sanborn city,339,193,434,199,339,434
2758396,160,27,,,,,,Sandstone city,2849,652,1549,634,2849,1549
2758576,160,27,,,,,,Sargeant city,61,32,76,33,61,76
2758612,160,27,,,,,,Sartell city,15876,6123,9641,3531,15876,9641
2758684,160,27,,,,,,Sauk Rapids city,12773,5219,10213,4017,12773,10213
2758738,160,27,,,,,,Savage city,26911,9429,21115,6994,26911,21115
2758900,160,27,,,,,,Scandia city,3936,1704,,,3936,
2759098,160,27,,,,,,Seaforth city,86,38,77,41,86,77
2759116,160,27,,,,,,Searles CDP,171,79,,,171,
2759152,160,27,,,,,,Sebeka city,711,364,710,378,711,710
2759188,160,27,,,,,,Sedan city,45,28,65,31,45,65
2759314,160,27,,,,,,Shafer city,1045,402,343,129,1045,343
2759350,160,27,,,,,,Shakopee city,37076,13339,20568,7805,37076,20568
2759620,160,27,,,,,,Sherburn city,1137,563,1082,535,1137,1082
2759782,160,27,,,,,,Shevlin city,176,82,160,76,176,160
2759998,160,27,,,,,,Shoreview city,25043,10826,25924,10289,25043,25924
2760250,160,27,,,,,,Silver Bay city,1887,974,2068,933,1887,2068
2760322,160,27,,,,,,Silver Creek CDP,256,105,,,256,
2760376,160,27,,,,,,Silver Lake city,837,379,761,340,837,761
2760754,160,27,,,,,,Skyline city,289,118,330,125,289,330
2760808,160,27,,,,,,Slayton city,2153,1048,2072,1022,2153,2072
2761006,160,27,,,,,,Sobieski city,195,91,196,88,195,196
2761114,160,27,,,,,,Solway city,96,33,69,32,96,69
2761204,160,27,,,,,,Soudan CDP,446,244,,,446,
2761308,160,27,,,,,,South End CDP,25,12,,,25,
2761402,160,27,,,,,,South Haven city,187,74,204,76,187,204
2761690,160,27,,,,,,Spicer city,1167,621,1126,605,1167,1126
2761816,160,27,,,,,,Springfield city,2152,1015,2215,968,2152,2215
2761852,160,27,,,,,,Spring Grove city,1330,653,1304,610,1330,1304
2761888,160,27,,,,,,Spring Hill city,85,39,55,26,85,55
2762284,160,27,,,,,,Squaw Lake city,107,63,99,56,107,99
2762356,160,27,,,,,,Stanchfield CDP,118,46,,,118,
2762788,160,27,,,,,,Stewart city,571,261,564,254,571,564
2762806,160,27,,,,,,Stewartville city,5916,2425,5411,2074,5916,5411
2762824,160,27,,,,,,Stillwater city,18225,7576,15143,5926,18225,15143
2762896,160,27,,,,,,Stockton city,697,282,682,246,697,682
2763130,160,27,,,,,,Strathcona city,44,18,29,18,44,29
2763220,160,27,,,,,,Sturgeon Lake city,439,258,347,151,439,347
2763454,160,27,,,,,,Sunburg city,100,57,110,55,100,110
2763544,160,27,,,,,,Sunfish Lake city,521,194,504,178,521,504
2763778,160,27,,,,,,Swanville city,350,157,351,148,350,351
2764156,160,27,,,,,,Tamarack city,94,49,59,48,94,59
2764210,160,27,,,,,,Taopi city,58,25,93,34,58,93
2764264,160,27,,,,,,Taunton city,139,78,207,77,139,207
2764426,160,27,,,,,,Tenney city,5,9,6,8,5,6
2764543,160,27,,,,,,The Lakes CDP,667,791,619,598,667,619
2764547,160,27,,,,,,The Ranch CDP,9,9,,,9,
2764750,160,27,,,,,,Thomson city,159,76,153,67,159,153
2764948,160,27,,,,,,Tintah city,63,34,79,45,63,79
2765308,160,27,,,,,,Tracy city,2163,1032,2268,1013,2163,2268
2765470,160,27,,,,,,Trimont city,747,348,754,356,747,754
2765506,160,27,,,,,,Trommald city,98,55,125,52,98,125
2765542,160,27,,,,,,Trosky city,86,42,116,48,86,116
2765668,160,27,,,,,,Truman city,1115,541,1259,542,1115,1259
2765794,160,27,,,,,,Turtle River city,77,44,75,38,77,75
2765920,160,27,,,,,,Twin Lakes city,151,85,168,83,151,168
2765927,160,27,,,,,,Twin Lakes CDP,149,183,,,149,
2765938,160,27,,,,,,Twin Valley city,821,431,865,399,821,865
2765956,160,27,,,,,,Two Harbors city,3745,1799,3613,1631,3745,3613
2766136,160,27,,,,,,Ulen city,547,268,532,228,547,532
2766172,160,27,,,,,,Underwood city,341,180,319,154,341,319
2766388,160,27,,,,,,Urbank city,54,34,59,33,54,59
2766424,160,27,,,,,,Utica city,291,109,230,85,291,230
2766802,160,27,,,,,,Vermillion city,419,162,437,161,419,437
2766910,160,27,,,,,,Vernon Center city,332,142,359,137,332,359
2766982,160,27,,,,,,Vesta city,319,136,339,142,319,339
2767036,160,27,,,,,,Victoria city,7345,2545,4025,1410,7345,4025
2767090,160,27,,,,,,Viking city,104,46,92,44,104,92
2767144,160,27,,,,,,Villard city,254,127,244,116,254,244
2767180,160,27,,,,,,Vineland CDP,1001,369,607,189,1001,607
2767216,160,27,,,,,,Vining city,78,43,68,46,78,68
2767288,160,27,,,,,,Virginia city,8712,4738,9157,4692,8712,9157
2767378,160,27,,,,,,Wabasha city,2521,1315,2599,1166,2521,2599
2767396,160,27,,,,,,Wabasso city,696,308,643,297,696,643
2767432,160,27,,,,,,Waconia city,10697,4112,6814,2646,10697,6814
2767612,160,27,,,,,,Waite Park city,6715,3424,6568,3065,6715,6568
2767756,160,27,,,,,,Waldorf city,229,115,242,115,229,242
2767972,160,27,,,,,,Wanamingo city,1086,503,1007,411,1086,1007
2768008,160,27,,,,,,Wanda city,84,41,103,47,84,103
2768080,160,27,,,,,,Warba city,181,90,183,86,181,183
2768170,160,27,,,,,,Warren city,1563,743,1678,785,1563,1678
2768260,160,27,,,,,,Warsaw CDP,627,285,,,627,
2768584,160,27,,,,,,Waterville city,1868,963,1833,864,1868,1833
2768620,160,27,,,,,,Watkins city,962,438,880,367,962,880
2768764,160,27,,,,,,Waverly city,1357,603,732,332,1357,732
2769106,160,27,,,,,,Wells city,2343,1133,2494,1097,2343,2494
2769142,160,27,,,,,,Wendell city,167,87,177,84,167,177
2769250,160,27,,,,,,Westbrook city,739,418,755,412,739,755
2769304,160,27,,,,,,West Concord city,782,372,836,344,782,836
2769628,160,27,,,,,,Westport city,57,23,72,25,57,72
2769690,160,27,,,,,,West Roy Lake CDP,74,26,,,74,
2769700,160,27,,,,,,West St. Paul city,19540,9139,19405,8779,19540,19405
2769736,160,27,,,,,,West Union city,111,43,87,32,111,87
2769808,160,27,,,,,,Whalan city,63,55,64,45,63,64
2769844,160,27,,,,,,Wheaton city,1424,834,1619,907,1424,1619
2769880,160,27,,,,,,Whipholt CDP,99,111,,,99,
